City ID,City,Country,Lat,Long,Date,Temp Max,Humidity,Cloudiness,Wind Speed
3369157,Cape Town,ZA,-33.93,18.42,12/28/2020,71.006,64,20,8.7
3833367,Ushuaia,AR,-54.8,-68.3,12/28/2020,55.4,54,75,2.1
5106841,Albany,US,42.6,-73.97,12/28/2020,39.992,72,81,3.17
5880054,Barrow,US,71.29,-156.79,12/28/2020,3.2,71,90,5.7
6167817,Torbay,CA,47.67,-52.73,12/28/2020,33.998,69,20,3.6
5855927,Hilo,US,19.73,-155.09,12/28/2020,69.8,83,75,2.6
3883457,Lebu,CL,-37.62,-73.65,12/28/2020,64.454,75,13,5.12
2163355,Hobart,AU,-42.88,147.33,12/28/2020,53.6,54,40,3.6
5640350,Billings Metropolitan Area,US,45.78,-108.5,12/28/2020,19.4,92,75,0.57
6089245,Norman Wells,CA,65.28,-126.83,12/28/2020,-16.6,75,20,2.6
5847411,Kahului,US,20.89,-156.47,12/28/2020,68,77,20,2.1
1529484,Kumul,CN,42.8,93.45,12/28/2020,12.938,74,0,2.2
5122534,Jamestown,US,42.1,-79.24,12/28/2020,33.998,97,90,7.7
5392126,San Joaquin,US,37.93,-121.3,12/28/2020,51.8,76,90,1.5
4031637,Lavrentiya,RU,65.58,-171,12/28/2020,17.582,94,100,7.46
4020109,Atuona,PF,-9.8,-139.03,12/28/2020,78.62,72,37,7.2
2647074,Hereford,GB,52.06,-2.71,12/28/2020,33.998,94,83,1.48
4030556,Rikitea,PF,-23.12,-134.97,12/28/2020,78.566,80,89,8.62
2126123,Chokurdakh,RU,70.63,147.92,12/28/2020,-35.356,84,16,1.52
3924895,Plácido de Castro,BR,-10.34,-67.19,12/28/2020,82.76,79,100,1.68
5404476,Ukiah,US,39.15,-123.21,12/28/2020,46.994,54,1,0.86
118063,Sabzawār,IR,36.21,57.68,12/28/2020,33.152,74,0,2.37
2110227,Butaritari,KI,3.07,172.79,12/28/2020,80.564,80,13,8.76
1337618,Manadhoo,MV,5.77,73.38,12/28/2020,81.932,70,0,4.09
1505579,Inta,RU,66.03,60.17,12/28/2020,-20.614,85,98,2.35
2156643,Mount Gambier,AU,-37.83,140.77,12/28/2020,51.8,87,90,3.1
2063042,Port Hedland,AU,-20.32,118.57,12/28/2020,84.2,79,26,2.6
1106677,Bambous Virieux,MU,-20.34,57.76,12/28/2020,77,78,75,3.6
257122,Methóni,GR,36.82,21.7,12/28/2020,55.004,93,40,5.2
2155415,New Norfolk,AU,-42.78,147.06,12/28/2020,53.6,54,40,3.6
777019,Vardø,NO,70.37,31.11,12/28/2020,28.4,92,75,12.3
1006984,East London,ZA,-33.02,27.91,12/28/2020,71.6,78,20,6.7
1500399,Lokosovo,RU,61.13,74.82,12/28/2020,-0.13,93,100,5.68
3664980,Boa Vista,BR,2.82,-60.67,12/28/2020,89.6,52,40,5.1
1015776,Bredasdorp,ZA,-34.53,20.04,12/28/2020,68,64,12,4.1
3366880,Hermanus,ZA,-34.42,19.23,12/28/2020,71.006,67,22,1.79
3443061,Chui,UY,-33.7,-53.46,12/28/2020,77.162,64,55,5.47
100926,Umluj,SA,25.02,37.27,12/28/2020,75.326,57,28,2.55
6201424,Mataura,NZ,-46.19,168.86,12/28/2020,48.002,91,0,0.89
3874787,Punta Arenas,CL,-53.15,-70.92,12/28/2020,60.8,38,20,7.7
1507390,Dikson,RU,73.51,80.55,12/28/2020,-22.306,88,97,4.51
2075265,Busselton,AU,-33.65,115.33,12/28/2020,64.004,63,100,2.24
2173911,Broken Hill,AU,-31.95,141.43,12/28/2020,59,38,0,8.7
5911745,Burns Lake,CA,54.23,-125.75,12/28/2020,21.2,92,100,1
1252783,Yārāda,IN,17.65,83.27,12/28/2020,73.454,68,0,2.78
1809858,Guangzhou,CN,23.12,113.25,12/28/2020,68,82,0,1
3430863,Mar del Plata,AR,-38,-57.56,12/28/2020,75.2,73,20,10.3
4035715,Avarua,CK,-21.21,-159.78,12/28/2020,75.2,94,17,2.1
3149533,Roverud,NO,60.25,12.05,12/28/2020,35.6,94,90,2.1
3424607,Tasiilaq,GL,65.61,-37.64,12/28/2020,28.4,63,100,0.5
3347019,Mossamedes,AO,-15.2,12.15,12/28/2020,72.968,76,76,2.82
780687,Berlevåg,NO,70.86,29.09,12/28/2020,26.6,73,75,6.7
3868633,Vallenar,CL,-28.57,-70.76,12/28/2020,84.74,25,0,5.05
1641977,Kalianget,ID,-7.05,113.93,12/28/2020,79.844,81,44,2.44
964420,Port Elizabeth,ZA,-33.92,25.57,12/28/2020,71.6,78,0,8.7
699413,Novomykolayivka,UA,47.98,35.91,12/28/2020,32,91,90,5
2729907,Longyearbyen,SJ,78.22,15.64,12/28/2020,26.6,79,75,11.8
4031742,Egvekinot,RU,66.32,-179.17,12/28/2020,-1.138,88,100,11.59
1731298,Aloleng,PH,16.13,119.78,12/28/2020,78.854,83,43,1.94
3652764,Puerto Ayora,EC,-0.74,-90.35,12/28/2020,80.6,74,75,8.2
2943049,Brunsbüttel,DE,53.9,9.15,12/28/2020,37.994,91,99,3.42
5861897,Fairbanks,US,64.84,-147.72,12/28/2020,14,66,20,1.77
2281951,Sassandra,CI,4.95,-6.08,12/28/2020,80.762,80,15,4.17
2027296,Aykhal,RU,66,111.5,12/28/2020,-7.6,83,75,5
2017155,Saskylakh,RU,71.92,114.08,12/28/2020,-16.402,86,100,10.78
4726521,San Patricio,US,28.02,-97.52,12/28/2020,77,69,75,6.7
3466704,Castro,BR,-24.79,-50.01,12/28/2020,74.444,79,51,1.68
3471451,Arraial do Cabo,BR,-22.97,-42.03,12/28/2020,84.2,62,75,6.7
2027244,Bagdarin,RU,54.43,113.6,12/28/2020,-16.474,76,100,2.45
2012530,Zhigansk,RU,66.77,123.37,12/28/2020,-2.362,89,100,9.26
3893629,Coquimbo,CL,-29.95,-71.34,12/28/2020,68,64,20,6.7
632370,Varkaus,FI,62.32,27.87,12/28/2020,30.002,86,40,6.2
2025456,Chernyshevskiy,RU,63.01,112.47,12/28/2020,-14.602,88,100,2.92
2012956,Yerbogachën,RU,61.28,108.01,12/28/2020,-21.136,85,97,3.96
3933104,Pangoa,PE,-12.12,-73,12/28/2020,69.908,96,100,0.5
546105,Nikolskoye,RU,59.7,30.79,12/28/2020,28.4,79,75,7
3855075,General Pico,AR,-35.66,-63.76,12/28/2020,87.71,41,100,4.01
6170031,Tuktoyaktuk,CA,69.45,-133.04,12/28/2020,-11.2,76,75,3.1
1491230,Sovetskiy,RU,61.36,63.58,12/28/2020,-13.486,88,100,3.68
3463920,Esplanada,BR,-11.8,-37.95,12/28/2020,86.144,47,15,5.48
3166595,Sestri Levante,IT,44.27,9.4,12/28/2020,42.998,98,80,1.55
3414079,Olafsvik,IS,64.89,-23.71,12/28/2020,29.372,86,15,2.72
3945985,Camaná,PE,-16.62,-72.71,12/28/2020,75.632,65,100,4.47
934322,Mahébourg,MU,-20.41,57.7,12/28/2020,77,78,75,3.6
5746545,Portland,US,45.52,-122.68,12/28/2020,41,83,60,0.45
5354943,Half Moon Bay,US,37.46,-122.43,12/28/2020,50,81,90,1.5
610864,Khani,GE,41.96,42.96,12/28/2020,57.2,30,0,10.8
1631637,Pemangkat,ID,1.17,108.97,12/28/2020,77.81,84,96,3.05
461442,Ape,LV,57.54,26.69,12/28/2020,32.828,93,100,7.1
2022572,Khatanga,RU,71.97,102.5,12/28/2020,-30.01,84,83,6.81
172515,Abu Samrah,SY,35.3,37.18,12/28/2020,49.694,65,100,3.08
5866583,Saint Paul Harbor,US,57.79,-152.41,12/28/2020,39.2,82,90,7.2
3985710,Cabo San Lucas,MX,22.89,-109.91,12/28/2020,75.002,40,5,1.5
2641181,Norwich,GB,52.63,1.3,12/28/2020,39.992,93,75,2.1
